baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	deg
ENSG00000000003.14	1207.23729680793	-0.594757925435271	0.13697550117035	-4.34207519120954	1.41143208787687e-05	3.9999563754732e-05	TSPAN6	TRUE
ENSG00000000005.5	0.555043205043925	-2.62423783531572	3.54422276520477	-0.740426888817216	0.459041008261159	NA	TNMD	NA
ENSG00000000419.12	1366.72558786783	0.0858651981950839	0.123396414060123	0.695848407339028	0.486523770255723	0.575036991227159	DPM1	FALSE
ENSG00000000457.13	258.416338067341	0.0231165999755263	0.147709206264747	0.156500739257194	0.875638336580198	0.906411213925124	SCYL3	FALSE
ENSG00000000460.16	172.164169473324	1.15867732256644	0.203942798535815	5.6813838531443	1.33609233951971e-08	5.19474739010784e-08	C1orf112	TRUE
ENSG00000000971.15	48.9235902456297	-1.64108779253157	0.333932472771309	-4.91443009094674	8.90410897415578e-07	2.88459897240965e-06	CFH	TRUE
ENSG00000001036.13	1670.74016585033	-0.496434186023846	0.11941691576983	-4.15715129488603	3.22240596529691e-05	8.78730289801386e-05	FUCA2	TRUE
ENSG00000001084.11	2793.71844175331	0.584468003054952	0.0794653960101861	7.35500019379547	1.90926840372147e-13	1.10558700539131e-12	GCLC	TRUE
ENSG00000001167.14	1938.47916779329	0.108166604181491	0.0919000979149837	1.1770020558798	0.239194685680447	0.318081564740733	NFYA	FALSE
ENSG00000001460.17	188.822932089833	-0.419928731008847	0.170031814696793	-2.46970681197327	0.0135223829231012	0.0246050674107009	STPG1	TRUE
ENSG00000001461.16	1964.01875043901	-0.548930954308863	0.110157528139042	-4.98314517021473	6.25589794128672e-07	2.05482573683407e-06	NIPAL3	TRUE
ENSG00000001497.16	2574.36348196576	0.1986432281612	0.0853386011184486	2.32770663636126	0.0199276865190978	0.0350863172872937	LAS1L	TRUE
ENSG00000001561.6	88.9889808254808	0.830457061197988	0.259869358164944	3.19567134448718	0.0013950592141787	0.00303884231644063	ENPP4	TRUE
ENSG00000001617.11	711.775995964814	0.903669698969991	0.128184261047957	7.04977109968211	1.7921235280783e-12	9.6801958726189e-12	SEMA3F	TRUE
ENSG00000001626.14	13.1441407407596	1.40063286384482	0.635371512976823	2.20443132126371	0.0274940249667228	0.0470231107228783	CFTR	TRUE
ENSG00000001629.9	4840.73540243857	0.113257018364633	0.0805250778116782	1.40648132783559	0.159581245379372	0.225341533584337	ANKIB1	FALSE
ENSG00000001630.15	5326.22827321351	-1.53443423662412	0.0939886709947939	-16.3257360741819	6.47549409254407e-60	3.09874230504792e-58	CYP51A1	TRUE
ENSG00000001631.15	1903.47920558343	0.245341751672894	0.0846362703858084	2.89877791819655	0.00374620137176313	0.00758913891799265	KRIT1	TRUE
ENSG00000002016.17	285.319057881389	0.0277052358229854	0.144909915283973	0.191189372850662	0.848377229280312	0.885437775976727	RAD52	FALSE
