1;33;chrX;-;153583440;153585618;153585642;153585801;1
2;104;chrX;+;149901202;149905066;149905252;149905713;1
3;107;chrX;+;149919315;149919501;149919712;149924160;-1
4;116;chrX;-;148564749;148568455;148568629;148571844;1
5;180;chrX;+;123022568;123025087;123025159;123026580;1
6;237;chrX;-;102931979;102939608;102939657;102940098;1
7;238;chrX;-;102933528;102939608;102939657;102940098;1
8;247;chrX;+;102155760;102155950;102156061;102156558;1
9;256;chrX;-;79963002;79964926;79965076;79971655;1
10;311;chrX;+;70503571;70504246;70504303;70510478;1
11;318;chrX;+;70353062;70354206;70354316;70354562;1
12;359;chrX;-;62652371;62736789;62736962;62780711;-1
13;380;chrX;-;54107893;54112147;54112349;54117744;1
14;439;chrX;+;48675040;48675766;48675866;48676447;1
15;461;chrX;-;46539190;46541770;46541970;46618139;1
16;467;chrX;+;46322743;46330576;46330620;46332184;-1
17;494;chrX;+;30712654;30713199;30713249;30714158;-1
18;513;chrX;-;23751334;23752457;23752484;23754035;-1
19;514;chrX;-;23751334;23752457;23752484;23761241;-1
20;539;chrX;-;20258723;20259710;20259804;20284681;-1
21;557;chrX;-;19009166;19013013;19013166;19014168;1
22;581;chrX;-;15474177;15477779;15477863;15497851;1
23;584;chrX;-;15267057;15268551;15268656;15270375;1
24;595;chrX;+;9608400;9621584;9621729;9622254;1
25;599;chrX;+;9622362;9652082;9652228;9656056;1
26;633;chr22;-;51012144;51012236;51012350;51012763;-1
27;642;chrX;+;44918711;44919266;44919401;44920568;1
28;686;chr22;-;50658444;50658679;50660303;50660456;1
29;724;chr22;-;42557364;42564614;42564709;42565852;1
30;733;chr22;-;41982197;41985055;41985167;41985722;-1
31;747;chr22;+;41728231;41734316;41734359;41735004;1
32;803;chr22;-;37772036;37813807;37813958;37822910;1
33;891;chr22;-;29091861;29092888;29092975;29095825;1
34;911;chr22;+;25844251;25851678;25851807;25853225;1
35;914;chr22;-;24939068;24939809;24940051;24942881;1
36;915;chr22;-;24939065;24939809;24940051;24942881;1
37;918;chr22;-;24944041;24944884;24944969;24951582;1
38;940;chr22;-;24376998;24381699;24381787;24384119;1
39;960;chrX;+;54835809;54836550;54836646;54837253;1
40;978;chr22;+;22043138;22048104;22048161;22048881;1
41;981;chr22;-;21983076;21983298;21983476;21983596;1
42;1003;chr22;-;21101990;21104192;21104282;21105580;1
43;1032;chr22;+;20040107;20040959;20041074;20049052;1
44;1033;chr22;+;20040107;20040959;20041074;20050860;1
45;1035;chr22;+;20040107;20043465;20043536;20050860;1
46;1038;chr22;+;20040107;20049052;20049206;20050860;1
47;1039;chr22;+;20043536;20049052;20049206;20050860;1
